"Year","Rank","Author","Title","Contributor","Description"
2014,17,"Patricia Cornwell","DUST","by Patricia Cornwell","The murder of a computer engineer at M.I.T. leads Kay Scarpetta, the chief medical examiner of Massachusetts, in unexpected directions."
2014,18,"Elizabeth Gilbert","THE SIGNATURE OF ALL THINGS","by Elizabeth Gilbert","A 19th-century botanist’s pursuits take her to Tahiti and deep into the mysteries of evolution; by the author of “Eat, Pray, Love.”"
2014,19,"Dave Eggers","THE CIRCLE","by Dave Eggers","A dystopian novel about life on the campus of a powerful Internet company, whose credo is “All that happens must be known.”"
2014,20,"Sue Grafton","W IS FOR WASTED","by Sue Grafton","Kinsey Millhone investigates two seemingly unrelated deaths: The first victim was a shady P.I.; the second, a homeless man who’s left Kinsey $600,000."
2015,1,"John Grisham","GRAY MOUNTAIN","by John Grisham","A downsized Wall Street lawyer joins a legal clinic in a small Virginia town."
2015,2,"Stephen King","REVIVAL","by Stephen King","The continuing relationship, over five decades, between a disgraced clergyman and a drug-addicted musician."
2015,3,"James Patterson","HOPE TO DIE","by James Patterson","Detective Alex Cross’s family is kidnapped by a madman who wants to turn Cross into a perfect killer."
2015,4,"Anthony Doerr","ALL THE LIGHT WE CANNOT SEE","by Anthony Doerr","The lives of a blind French girl and a gadget-obsessed German boy before and during World War II. "
2015,5,"David Baldacci","THE ESCAPE","by David Baldacci","John Puller, a special agent with the Army, hunts for his brother, who was convicted of treason and has escaped from prison."
2015,6,"Mark Greaney","TOM CLANCY FULL FORCE AND EFFECT","by Mark Greaney","A discovery of mineral deposits has changed North Korea’s fortunes and made the country even more of a threat for President Jack Ryan."
2015,7,"Jodi Picoult","LEAVING TIME","by Jodi Picoult","After searching for her mother, who has disappeared, for more than 10 years, a woman employs a psychic and a detective."
2015,8,"Michael Connelly","THE BURNING ROOM","by Michael Connelly","The Los Angeles detective Harry Bosch and his new partner investigate two long-unsolved cases."
2015,9,"Phil Klay","REDEPLOYMENT","by Phil Klay","Twelve stories by a former Marine who served in Iraq; winner of the 2014 National Book Award."
