title,author,cotributor,publisher,price,age_group,description
BIG LITTLE LIES,Liane Moriarty,by Liane Moriarty,Berkley,0,,A death at an elementary school's trivia night reveals the rivalries among the parents and raises questions of murder.
THE STORY OF A NEW NAME,Elena Ferrante,by Elena Ferrante,Europa,0,,Book 2 of the Neapolitan series continues the story of two women and their lifelong friendship.
EVERY FIFTEEN MINUTES,Lisa Scottoline,by Lisa Scottoline,St. Martin's Griffin,0,,A psychiatrist becomes the target of a sociopath.
FROZEN IN TIME,Mitchell Zuckoff,by Mitchell Zuckoff,HarperCollins,0,,"An account both of airmen’s fight for survival in the Arctic after a 1942 crash, and of a 2012 expedition to Greenland to find the remains of a plane that crashed in a rescue attempt."
MIRACLES FROM HEAVEN,Christy Wilson Beam,by Christy Wilson Beam,Hachette Books,0,,"A mother tells the story of her once-sickly young daughter, whose chronic disease disappeared after her near-death experience."
WHEN BREATH BECOMES AIR,Paul Kalanithi,by Paul Kalanithi,Random House,0,,A memoir by a physician who received a diagnosis of Stage IV lung cancer at the age of 36.
ROSEMARY,Kate Clifford Larson,by Kate Clifford Larson,Houghton Mifflin Harcourt,0,,The tragic story of the Kennedys’ intellectually disabled oldest daughter.
THE SLEEPWALKERS,Christopher Clark,by Christopher Clark,Harper,0,,"A Cambridge professor's  evenhanded account of the polarization of Europe, leading up to World War I. One of the Book Review's 10 Best Books of 2013."
NOTES FROM A SMALL ISLAND,Bill Bryson,by Bill Bryson,Morrow/HarperCollins,0,,An affectionate and irreverent walking tour of Britain; originally published in 1996.
THE BOY WHO HARNESSED THE WIND,William Kamkwamba and Bryan Mealer,by William Kamkwamba and Bryan Mealer,HarperCollins,0,,"The story of an African teenager who built a windmill from scraps, bringing electricity to his community. Originally published in 2009."
THE QUANTUM RULES,Kunal K Das,by Kunal K. Das,Skyhorse,0,,How quantum physics affects daily life.
SEVEN BRIEF LESSONS ON PHYSICS,Carlo Rovelli,by Carlo Rovelli,Riverhead,0,,An introduction to modern physics.
TRIANGLE,David Von Drehle,by David Von Drehle,Grove,0,,"The story of the shocking 1911 fire at the Triangle Shirtwaist factory, which spurred industrial reform. Originally published in 2003."
SMARTER FASTER BETTER,Charles Duhigg,by Charles Duhigg,Random House,0,,"The science of productivity, from the author of “The Power of Habit.”"
OUTLAW PLATOON,Sean Parnell with John R Bruning,by Sean Parnell with John R. Bruning,Morrow/HarperCollins,0,,A personal account of the Army’s 10th Mountain Division’s heroic 16-months of nearly continuous combat in the mountains of Afghanistan.
WAITER RANT,Steve Dublanica,by Steve Dublanica,Harper Perennial,0,,A waiter in an upscale New York City suburb dishes on customers’ outrageous behavior; first published anonymously in 2008.
DARK INVASION,Howard Blum,by Howard Blum,Harper,0,,1915 and Germany's secret war and the hunt for the first terrorist cell in America.
ALEXANDER HAMILTON,Ron Chernow,by Ron Chernow,Penguin,0,,"A biography of the first Treasury secretary, a major author of the Federalist Papers and an advocate of strong central government. Originally published in 2004 and the basis of the Broadway musical."
THE LIAR,Nora Roberts,by Nora Roberts,Jove,0,,"After her husband’s death, a woman returns with her daughter to her Smoky Mountain hometown, only to discover that her husband was a fraud who implicated her in his deceptions."
FINDERS KEEPERS,Stephen King,by Stephen King,Pocket Books,0,,"This second novel of the Bill Hodges trilogy involves a dead writer, his obsessed murderer and a coveted manuscript."
MEMORY MAN,David Baldacci,by David Baldacci,Grand Central,0,,A police detective uses his extraordinary memory when tackling the case of his family's murder.
COUNTRY,Danielle Steel,by Danielle Steel,Delacorte,0,,"After her husband’s sudden death, a woman falls in love with a country music superstar."
THE STRANGER,Harlan Coben,by Harlan Coben,Dutton,0,,"When a woman's devastating secret is mysteriously revealed to her husband, much more than their marriage is suddenly in danger."
REVENGE,Lisa Jackson,by Lisa Jackson,Zebra,0,,"Collected in one volume, the author's Love Letters trilogy, about secrets revealed when the head of a town's wealthiest family is murdered."
11/22/63,Stephen King,by Stephen King,Pocket Books,0,,An English teacher travels back to 1958 by way of a time portal in a Maine diner. His assignment: Stop Lee Harvey Oswald.
THE ASSASSIN,Clive Cussler and Justin Scott,by Clive Cussler and Justin Scott,Penguin,0,,The detective Isaac Bell investigates the murders of opponents of the Standard Oil trust in 1905.
ENDANGERED,C J Box,by C. J. Box,Putnam,0,,"When his 18-year-old daughter is found beaten in a ditch, the Wyoming game warden Joe Pickett suspects her boyfriend, a rodeo star."
THE BONE TREE,Greg Iles,by Greg Iles,Morrow,0,,"In the second book of a trilogy, following “Natchez Burning,” the prosecutor Penn Cage’s attempt to find his father, a doctor who has gone into hiding after the murder of his African-American nurse, brings him up against the Ku Klux Klan."
