"x"
"nfl-ari"
"nfl-atl"
"nfl-bal"
"nfl-buf"
"nfl-car"
"nfl-chi"
"nfl-cin"
"nfl-cle"
"nfl-dal"
"nfl-den"
"nfl-det"
"nfl-gb"
"nfl-hou"
"nfl-ind"
"nfl-jac"
"nfl-kc"
"nfl-mia"
"nfl-min"
"nfl-ne"
"nfl-no"
"nfl-nyg"
"nfl-nyj"
"nfl-oak"
"nfl-phi"
"nfl-pit"
"nfl-sd"
"nfl-sea"
"nfl-sf"
"nfl-stl"
"nfl-tb"
"nfl-ten"
"nfl-was"
