"team","week","yardage_type","yards","offset","offset2","outcome"
"nfl-buf",10,"rushing",94,0,-1,"loss"
"nfl-buf",10,"passing",225,94,1,"loss"
"nfl-buf",9,"rushing",148,0,-1,"win"
"nfl-buf",9,"passing",132,148,1,"win"
"nfl-buf",8,"rushing",266,0,-1,"win"
"nfl-buf",8,"passing",154,266,1,"win"
"nfl-buf",7,"rushing",115,0,-1,"loss"
"nfl-buf",7,"passing",260,115,1,"loss"
"nfl-buf",6,"rushing",112,0,-1,"loss"
"nfl-buf",6,"passing",256,112,1,"loss"
"nfl-buf",5,"rushing",127,0,-1,"win"
"nfl-buf",5,"passing",82,127,1,"win"
"nfl-buf",4,"rushing",55,0,-1,"loss"
"nfl-buf",4,"passing",258,55,1,"loss"
"nfl-buf",3,"rushing",151,0,-1,"win"
"nfl-buf",3,"passing",277,151,1,"win"
"nfl-buf",2,"rushing",160,0,-1,"loss"
"nfl-buf",2,"passing",189,160,1,"loss"
"nfl-buf",1,"rushing",147,0,-1,"win"
"nfl-buf",1,"passing",195,147,1,"win"
"nfl-car",16,"rushing",111,0,-1,"win"
"nfl-car",16,"passing",255,111,1,"win"
"nfl-car",15,"rushing",155,0,-1,"loss"
"nfl-car",15,"passing",113,155,1,"loss"
"nfl-car",14,"rushing",171,0,-1,"win"
"nfl-car",14,"passing",309,171,1,"win"
"nfl-car",13,"rushing",142,0,-1,"win"
"nfl-car",13,"passing",282,142,1,"win"
"nfl-car",12,"rushing",175,0,-1,"win"
"nfl-car",12,"passing",322,175,1,"win"
"nfl-car",11,"rushing",129,0,-1,"win"
"nfl-car",11,"passing",165,129,1,"win"
"nfl-car",10,"rushing",142,0,-1,"win"
"nfl-car",10,"passing",226,142,1,"win"
"nfl-car",9,"rushing",119,0,-1,"win"
"nfl-car",9,"passing",184,119,1,"win"
"nfl-car",8,"rushing",130,0,-1,"win"
"nfl-car",8,"passing",297,130,1,"win"
"nfl-car",7,"rushing",140,0,-1,"win"
"nfl-car",7,"passing",239,140,1,"win"
"nfl-car",6,"rushing",204,0,-1,"win"
"nfl-car",6,"passing",190,204,1,"win"
"nfl-car",5,"rushing",135,0,-1,"win"
"nfl-car",5,"passing",248,135,1,"win"
"nfl-car",4,"rushing",133,0,-1,"win"
"nfl-car",4,"passing",111,133,1,"win"
"nfl-car",3,"rushing",119,0,-1,"win"
"nfl-car",3,"passing",312,119,1,"win"
"nfl-car",2,"rushing",172,0,-1,"win"
"nfl-car",2,"passing",178,172,1,"win"
"nfl-car",1,"rushing",105,0,-1,"win"
"nfl-car",1,"passing",158,105,1,"win"
"nfl-chi",16,"rushing",111,0,-1,"loss"
"nfl-chi",16,"passing",234,111,1,"loss"
"nfl-chi",15,"rushing",174,0,-1,"win"
"nfl-chi",15,"passing",153,174,1,"win"
"nfl-chi",14,"rushing",94,0,-1,"loss"
"nfl-chi",14,"passing",199,94,1,"loss"
"nfl-chi",13,"rushing",87,0,-1,"loss"
"nfl-chi",13,"passing",290,87,1,"loss"
"nfl-chi",12,"rushing",170,0,-1,"loss"
"nfl-chi",12,"passing",194,170,1,"loss"
"nfl-chi",11,"rushing",101,0,-1,"win"
"nfl-chi",11,"passing",189,101,1,"win"
"nfl-chi",10,"rushing",86,0,-1,"loss"
"nfl-chi",10,"passing",261,86,1,"loss"
"nfl-chi",9,"rushing",153,0,-1,"win"
"nfl-chi",9,"passing",244,153,1,"win"
"nfl-chi",8,"rushing",109,0,-1,"win"
"nfl-chi",8,"passing",337,109,1,"win"
"nfl-chi",7,"rushing",97,0,-1,"loss"
"nfl-chi",7,"passing",208,97,1,"loss"
"nfl-chi",6,"rushing",91,0,-1,"loss"
"nfl-chi",6,"passing",353,91,1,"loss"
"nfl-chi",5,"rushing",87,0,-1,"win"
"nfl-chi",5,"passing",241,87,1,"win"
"nfl-chi",4,"rushing",98,0,-1,"win"
"nfl-chi",4,"passing",273,98,1,"win"
"nfl-chi",3,"rushing",98,0,-1,"loss"
"nfl-chi",3,"passing",48,98,1,"loss"
"nfl-chi",2,"rushing",109,0,-1,"loss"
"nfl-chi",2,"passing",226,109,1,"loss"
"nfl-chi",1,"rushing",189,0,-1,"loss"
"nfl-chi",1,"passing",213,189,1,"loss"
"nfl-cin",16,"rushing",145,0,-1,"win"
"nfl-cin",16,"passing",147,145,1,"win"
"nfl-cin",15,"rushing",108,0,-1,"loss"
"nfl-cin",15,"passing",186,108,1,"loss"
"nfl-cin",14,"rushing",68,0,-1,"win"
"nfl-cin",14,"passing",174,68,1,"win"
"nfl-cin",13,"rushing",64,0,-1,"loss"
"nfl-cin",13,"passing",321,64,1,"loss"
"nfl-cin",12,"rushing",144,0,-1,"win"
"nfl-cin",12,"passing",233,144,1,"win"
"nfl-cin",11,"rushing",140,0,-1,"win"
"nfl-cin",11,"passing",236,140,1,"win"
"nfl-cin",10,"rushing",99,0,-1,"loss"
"nfl-cin",10,"passing",278,99,1,"loss"
"nfl-cin",9,"rushing",74,0,-1,"loss"
"nfl-cin",9,"passing",182,74,1,"loss"
"nfl-cin",8,"rushing",152,0,-1,"win"
"nfl-cin",8,"passing",219,152,1,"win"
"nfl-cin",7,"rushing",78,0,-1,"win"
"nfl-cin",7,"passing",218,78,1,"win"
"nfl-cin",6,"rushing",112,0,-1,"win"
"nfl-cin",6,"passing",243,112,1,"win"
"nfl-cin",5,"rushing",109,0,-1,"win"
"nfl-cin",5,"passing",310,109,1,"win"
"nfl-cin",4,"rushing",124,0,-1,"win"
"nfl-cin",4,"passing",321,124,1,"win"
"nfl-cin",3,"rushing",86,0,-1,"win"
"nfl-cin",3,"passing",372,86,1,"win"
"nfl-cin",2,"rushing",175,0,-1,"win"
"nfl-cin",2,"passing",214,175,1,"win"
"nfl-cin",1,"rushing",127,0,-1,"win"
"nfl-cin",1,"passing",269,127,1,"win"
"nfl-cle",16,"rushing",86,0,-1,"loss"
"nfl-cle",16,"passing",177,86,1,"loss"
"nfl-cle",15,"rushing",232,0,-1,"loss"
"nfl-cle",15,"passing",136,232,1,"loss"
"nfl-cle",14,"rushing",94,0,-1,"loss"
"nfl-cle",14,"passing",136,94,1,"loss"
"nfl-cle",13,"rushing",230,0,-1,"win"
"nfl-cle",13,"passing",251,230,1,"win"
"nfl-cle",12,"rushing",68,0,-1,"loss"
"nfl-cle",12,"passing",205,68,1,"loss"
"nfl-cle",11,"rushing",63,0,-1,"loss"
"nfl-cle",11,"passing",275,63,1,"loss"
"nfl-cle",10,"rushing",15,0,-1,"loss"
"nfl-cle",10,"passing",327,15,1,"loss"
"nfl-cle",9,"rushing",69,0,-1,"loss"
"nfl-cle",9,"passing",144,69,1,"loss"
"nfl-cle",8,"rushing",39,0,-1,"loss"
"nfl-cle",8,"passing",215,39,1,"loss"
"nfl-cle",7,"rushing",82,0,-1,"loss"
"nfl-cle",7,"passing",282,82,1,"loss"
"nfl-cle",6,"rushing",109,0,-1,"loss"
"nfl-cle",6,"passing",189,109,1,"loss"
"nfl-cle",5,"rushing",83,0,-1,"win"
"nfl-cle",5,"passing",422,83,1,"win"
"nfl-cle",4,"rushing",100,0,-1,"loss"
"nfl-cle",4,"passing",332,100,1,"loss"
"nfl-cle",3,"rushing",39,0,-1,"loss"
"nfl-cle",3,"passing",316,39,1,"loss"
"nfl-cle",2,"rushing",116,0,-1,"win"
"nfl-cle",2,"passing",158,116,1,"win"
"nfl-cle",1,"rushing",104,0,-1,"loss"
"nfl-cle",1,"passing",217,104,1,"loss"
"nfl-dal",16,"rushing",100,0,-1,"loss"
"nfl-dal",16,"passing",412,100,1,"loss"
"nfl-dal",15,"rushing",121,0,-1,"loss"
"nfl-dal",15,"passing",186,121,1,"loss"
"nfl-dal",14,"rushing",133,0,-1,"loss"
"nfl-dal",14,"passing",176,133,1,"loss"
"nfl-dal",13,"rushing",171,0,-1,"loss"
"nfl-dal",13,"passing",99,171,1,"loss"
"nfl-dal",12,"rushing",97,0,-1,"win"
"nfl-dal",12,"passing",221,97,1,"win"
"nfl-dal",11,"rushing",31,0,-1,"loss"
"nfl-dal",11,"passing",179,31,1,"loss"
"nfl-dal",10,"rushing",166,0,-1,"win"
"nfl-dal",10,"passing",220,166,1,"win"
"nfl-dal",9,"rushing",42,0,-1,"loss"
"nfl-dal",9,"passing",174,42,1,"loss"
"nfl-dal",8,"rushing",134,0,-1,"loss"
"nfl-dal",8,"passing",277,134,1,"loss"
"nfl-dal",7,"rushing",129,0,-1,"loss"
"nfl-dal",7,"passing",91,129,1,"loss"
"nfl-dal",6,"rushing",233,0,-1,"loss"
"nfl-dal",6,"passing",227,233,1,"loss"
"nfl-dal",5,"rushing",100,0,-1,"loss"
"nfl-dal",5,"passing",164,100,1,"loss"
"nfl-dal",4,"rushing",115,0,-1,"loss"
"nfl-dal",4,"passing",220,115,1,"loss"
"nfl-dal",3,"rushing",127,0,-1,"loss"
"nfl-dal",3,"passing",220,127,1,"loss"
"nfl-dal",2,"rushing",109,0,-1,"win"
"nfl-dal",2,"passing",250,109,1,"win"
"nfl-dal",1,"rushing",80,0,-1,"win"
"nfl-dal",1,"passing",356,80,1,"win"
"nfl-den",16,"rushing",210,0,-1,"win"
"nfl-den",16,"passing",293,210,1,"win"
"nfl-den",15,"rushing",113,0,-1,"win"
"nfl-den",15,"passing",277,113,1,"win"
"nfl-den",14,"rushing",104,0,-1,"loss"
"nfl-den",14,"passing",281,104,1,"loss"
"nfl-den",13,"rushing",34,0,-1,"loss"
"nfl-den",13,"passing",276,34,1,"loss"
"nfl-den",12,"rushing",134,0,-1,"win"
"nfl-den",12,"passing",159,134,1,"win"
"nfl-den",11,"rushing",179,0,-1,"win"
"nfl-den",11,"passing",254,179,1,"win"
"nfl-den",10,"rushing",170,0,-1,"win"
"nfl-den",10,"passing",219,170,1,"win"
"nfl-den",9,"rushing",69,0,-1,"loss"
"nfl-den",9,"passing",152,69,1,"loss"
"nfl-den",8,"rushing",35,0,-1,"loss"
"nfl-den",8,"passing",274,35,1,"loss"
"nfl-den",7,"rushing",160,0,-1,"win"
"nfl-den",7,"passing",340,160,1,"win"
"nfl-den",6,"rushing",152,0,-1,"win"
"nfl-den",6,"passing",290,152,1,"win"
"nfl-den",5,"rushing",43,0,-1,"win"
"nfl-den",5,"passing",254,43,1,"win"
"nfl-den",4,"rushing",144,0,-1,"win"
"nfl-den",4,"passing",200,144,1,"win"
"nfl-den",3,"rushing",41,0,-1,"win"
"nfl-den",3,"passing",313,41,1,"win"
"nfl-den",2,"rushing",61,0,-1,"win"
"nfl-den",2,"passing",238,61,1,"win"
"nfl-den",1,"rushing",69,0,-1,"win"
"nfl-den",1,"passing",150,69,1,"win"
"nfl-det",16,"rushing",67,0,-1,"win"
"nfl-det",16,"passing",282,67,1,"win"
"nfl-det",15,"rushing",87,0,-1,"win"
"nfl-det",15,"passing",284,87,1,"win"
"nfl-det",14,"rushing",150,0,-1,"win"
"nfl-det",14,"passing",246,150,1,"win"
"nfl-det",13,"rushing",111,0,-1,"loss"
"nfl-det",13,"passing",220,111,1,"loss"
"nfl-det",12,"rushing",101,0,-1,"loss"
