"city","time","temp"
"Phoenix",81,51.1
"Phoenix",84,47.82
"Phoenix",87,46.47
"Phoenix",90,45.35
"Phoenix",93,43.25
"Phoenix",96,45.19
"Phoenix",99,51.18
"Phoenix",102,54.02
"Phoenix",105,55.06
"Phoenix",108,47.5
"Phoenix",111,41.97
"Phoenix",114,39.23
"Phoenix",117,37.74
"San Antonio",0,67.24
"San Antonio",3,77.5
"San Antonio",6,82.56
"San Antonio",9,80.69
"San Antonio",12,65.86
"San Antonio",15,63.73
"San Antonio",18,58.42
"San Antonio",21,54.75
"San Antonio",24,64.18
"San Antonio",27,78.62
"San Antonio",30,85.33
"San Antonio",33,83.41
"San Antonio",36,73.92
"San Antonio",39,65.28
"San Antonio",42,63.43
"San Antonio",45,64.65
"San Antonio",48,66.87
"San Antonio",51,70.74
"San Antonio",54,74.46
"San Antonio",57,73.81
"San Antonio",60,69.31
"San Antonio",63,66.32
"San Antonio",66,65.66
"San Antonio",69,65.41
"San Antonio",72,66.68
"San Antonio",75,70.96
"San Antonio",78,74.21
"San Antonio",81,75.8
"San Antonio",84,69.33
"San Antonio",87,67.84
"San Antonio",90,68.75
"San Antonio",93,63.27
"San Antonio",96,65.98
"San Antonio",99,76.11
"San Antonio",102,78.18
"San Antonio",105,76.39
"San Antonio",108,62.8
"San Antonio",111,59.39
"San Antonio",114,58.27
"San Antonio",117,57.99
"San Diego",0,51.31
"San Diego",3,67.96
"San Diego",6,70.99
"San Diego",9,65.66
"San Diego",12,51.52
"San Diego",15,45.91
"San Diego",18,43.29
"San Diego",21,42.37
"San Diego",24,43.39
"San Diego",27,58.9
"San Diego",30,68.02
"San Diego",33,66.52
"San Diego",36,57.29
"San Diego",39,50.73
"San Diego",42,47.87
"San Diego",45,48.28
"San Diego",48,51.31
"San Diego",51,54.35
"San Diego",54,57.7
"San Diego",57,52.99
"San Diego",60,51.74
"San Diego",63,51.25
"San Diego",66,51.32
"San Diego",69,49.8
"San Diego",72,49.02
"San Diego",75,49.01
"San Diego",78,49.29
"San Diego",81,48.65
"San Diego",84,47.12
"San Diego",87,44.97
"San Diego",90,42.27
"San Diego",93,40.16
"San Diego",96,38.7
"San Diego",99,55.16
"San Diego",102,59.94
"Dallas",0,56.82
"Dallas",3,67.17
"Dallas",6,70.43
"Dallas",9,67.35
"Dallas",12,56.34
"Dallas",15,49.53
"Dallas",18,49.71
"Dallas",21,47.34
"Dallas",24,57.43
"Dallas",27,72.07
"Dallas",30,76.71
"Dallas",33,71.73
"Dallas",36,60.96
"Dallas",39,57.87
"Dallas",42,57.54
"Dallas",45,55.83
"Dallas",48,59.81
"Dallas",51,68.58
"Dallas",54,74.73
"Dallas",57,73.95
"Dallas",60,70.75
"Dallas",63,68.12
"Dallas",66,64.94
"Dallas",69,63.03
"Dallas",72,64.7
"Dallas",75,71.23
"Dallas",78,72.19
"Dallas",81,72.56
"Dallas",84,67.53
"Dallas",87,62.94
"Dallas",90,64.34
"Dallas",93,61.74
"Dallas",96,62.11
"Dallas",99,63.69
"Dallas",102,68.19
"Dallas",105,65.82
"Dallas",108,58.53
"Dallas",111,53.49
"Dallas",114,53.99
"Dallas",117,55.47
"San Jose",0,54.21
"San Jose",3,58.05
"San Jose",6,60.26
"San Jose",9,58.66
"San Jose",12,56.19
"San Jose",15,55.87
"San Jose",18,54.21
"San Jose",21,52.7
"San Jose",24,52.63
"San Jose",27,55.24
"San Jose",30,57
"San Jose",33,56.1
"San Jose",36,54.39
"San Jose",39,53.01
"San Jose",42,48.76
"San Jose",45,47.97
"San Jose",48,48.6
"San Jose",51,52.38
"San Jose",54,54.84
"San Jose",57,53.25
"San Jose",60,49.33
"San Jose",63,46.93
"San Jose",66,44.96
"San Jose",69,43.18
"San Jose",72,43.91
"San Jose",75,44.27
"San Jose",78,47.8
"San Jose",81,50.15
"San Jose",84,46.02
"San Jose",87,43.99
"San Jose",90,41.17
"San Jose",93,38.7
"San Jose",96,37.36
"San Jose",99,51.18
"San Jose",102,55.55
"San Jose",105,53.85
"San Jose",108,45.79
"San Jose",111,44.54
"San Jose",114,44.77
"San Jose",117,45.03
"Austin",0,59.52
"Austin",3,70.18
"Austin",6,74.16
"Austin",9,71.06
"Austin",12,57.64
"Austin",15,53.38
"Austin",18,51.93
"Austin",21,49.21
"Austin",24,55.95
"Austin",27,70.06
"Austin",30,79.72
"Austin",33,78.67
"Austin",36,68.99
"Austin",39,64.5
"Austin",42,58.49
"Austin",45,56.43
"Austin",48,61.17
"Austin",51,69.43
"Austin",54,75.03
"Austin",57,74.55
"Austin",60,68.97
"Austin",63,65.61
"Austin",66,64.14
"Austin",69,64.2
"Austin",72,65.44
"Austin",75,70.66
"Austin",78,72.78
"Austin",81,74.3
"Austin",84,69.26
"Austin",87,67.2
"Austin",90,67.69
"Austin",93,66.84
"Austin",96,66.87
"Austin",99,69.02
"Austin",102,75.24
"Jacksonville",0,60.75
"Jacksonville",3,64.04
"Jacksonville",6,62.8
"Jacksonville",9,59.77
"Jacksonville",12,57.02
"Jacksonville",15,53.28
"Jacksonville",18,51.82
"Jacksonville",21,51.4
"Jacksonville",24,62.28
"Jacksonville",27,64.99
"Jacksonville",30,65.61
"Jacksonville",33,59.14
"Jacksonville",36,52.68
"Jacksonville",39,49.41
"Jacksonville",42,46.71
"Jacksonville",45,48.22
"Jacksonville",48,60.66
"Jacksonville",51,64
"Jacksonville",54,62.26
"Jacksonville",57,55.41
"Jacksonville",60,50.59
"Jacksonville",63,49.31
"Jacksonville",66,49.77
"Jacksonville",69,52.54
"Jacksonville",72,67.58
"Jacksonville",75,70.33
"Jacksonville",78,71.24
"Jacksonville",81,65.59
"Jacksonville",84,59.66
"Jacksonville",87,58.8
"Jacksonville",90,57.05
"Jacksonville",93,54.45
"Jacksonville",96,72.19
"Jacksonville",99,75.16
"Jacksonville",102,74.45
"Jacksonville",105,69.15
"Jacksonville",108,66.9
"Jacksonville",111,65.64
"Jacksonville",114,64.52
"Jacksonville",117,63.57
"San Francisco",0,56.57
"San Francisco",3,58.08
"San Francisco",6,59.86
"San Francisco",9,58.21
"San Francisco",12,57.36
"San Francisco",15,57.33
"San Francisco",18,57.4
"San Francisco",21,56.91
"San Francisco",24,57.58
"San Francisco",27,58.1
"San Francisco",30,58.59
"San Francisco",33,58.26
"San Francisco",36,57.61
"San Francisco",39,54.55
"San Francisco",42,54.25
"San Francisco",45,53.89
"San Francisco",48,53.6
"San Francisco",51,53.67
"San Francisco",54,55.45
"San Francisco",57,55
"San Francisco",60,51.31
"San Francisco",63,50.57
"San Francisco",66,47.66
"San Francisco",69,47.37
"San Francisco",72,47.64
"San Francisco",75,49.18
"San Francisco",78,53.42
"San Francisco",81,54.34
"San Francisco",84,51.47
"San Francisco",87,49.53
"San Francisco",90,48.14
"San Francisco",93,47.16
"San Francisco",96,46.18
"San Francisco",99,51.81
"San Francisco",102,55.86
"San Francisco",105,55.24
"San Francisco",108,52.72
"San Francisco",111,50.75
"San Francisco",114,49.85
"San Francisco",117,49.35
"Indianapolis",0,29.19
"Indianapolis",3,36.72
"Indianapolis",6,40.73
"Indianapolis",9,34.72
"Indianapolis",12,27.09
"Indianapolis",15,30.09
"Indianapolis",18,34.23
"Indianapolis",21,36.81
"Indianapolis",24,43
"Indianapolis",27,47.62
"Indianapolis",30,42.91
"Indianapolis",33,39.54
"Indianapolis",36,36.09
"Indianapolis",39,29.88
"Indianapolis",42,23.79
"Indianapolis",45,21.27
"Indianapolis",48,37.31
"Indianapolis",51,47.3
"Indianapolis",54,52.32
"Indianapolis",57,47.49
"Indianapolis",60,44.65
"Indianapolis",63,44.41
"Indianapolis",66,45.27
"Indianapolis",69,45.61
"Indianapolis",72,53.9
"Indianapolis",75,62.45
"Indianapolis",78,61.39
"Indianapolis",81,57.85
"Indianapolis",84,53.94
"Indianapolis",87,53.85
"Indianapolis",90,55.97
"Indianapolis",93,59
"Indianapolis",96,62.92
"Indianapolis",99,65.44
"Indianapolis",102,65.45
"Indianapolis",105,64.47
"Indianapolis",108,61.81
"Indianapolis",111,62.27
"Indianapolis",114,58.13
"Indianapolis",117,59.52
"Columbus",0,33.33
"Columbus",3,36.84
"Columbus",6,37.49
"Columbus",9,28.69
"Columbus",12,20.61
"Columbus",15,16.05
"Columbus",18,18.39
"Columbus",21,24.93
"Columbus",24,33.13
"Columbus",27,37
"Columbus",30,38.77
"Columbus",33,36.72
"Columbus",36,34.14
"Columbus",39,32.22
"Columbus",42,29.86
"Columbus",45,27.57
"Columbus",48,31.14
"Columbus",51,38.79
"Columbus",54,42.66
"Columbus",57,35.43
"Columbus",60,32.41
"Columbus",63,32.84
"Columbus",66,35.74
"Columbus",69,36.12
"Columbus",72,43.46
"Columbus",75,50.26
"Columbus",78,55.99
"Columbus",81,50.6
"Columbus",84,46.02
"Columbus",87,43.99
"Columbus",90,42.65
"Columbus",93,42.35
"Columbus",96,52.84
"Columbus",99,62.11
"Columbus",102,64.14
"Columbus",105,60.01
"Columbus",108,56.77
"Columbus",111,53.85
"Columbus",114,54.67
"Columbus",117,54.57
"Fort Worth",0,56.25
"Fort Worth",3,67.17
"Fort Worth",6,70.61
"Fort Worth",9,67.17
"Fort Worth",12,57
"Fort Worth",15,51.51
"Fort Worth",18,49.53
"Fort Worth",21,46.49
"Fort Worth",24,57.07
"Fort Worth",27,72.25
"Fort Worth",30,77.25
"Fort Worth",33,72.48
"Fort Worth",36,61.77
"Fort Worth",39,58.86
"Fort Worth",42,58.93
"Fort Worth",45,54.81
"Fort Worth",48,58.82
"Fort Worth",51,68.18
"Fort Worth",54,75.51
"Fort Worth",57,74.85
"Fort Worth",60,71.83
"Fort Worth",63,68.89
"Fort Worth",66,65.25
"Fort Worth",69,63.12
"Fort Worth",72,63.93
"Fort Worth",75,65.47
"Fort Worth",78,74.57
"Fort Worth",81,72.16
"Fort Worth",84,67.31
"Fort Worth",87,65.91
